Scene,NPC / Context,Field,CIV,BW,CS,Row ID
Government Office,,Scene Title,Riot: Government Crisis Meeting,Riot: Government Office,,story::GOVERNMENT_OFFICE_ROUTE::sceneTitle
Government Office,,Scene Description,"Inside government, Rajiv helps track Marshall's attempt to broker terms between the Singapore Bus Workers' Union and the company after 229 dismissals. Every hour without a settlement makes the next clash more likely.","While Marshall tries to mediate, Ahmad waits outside with the other workers, unsure whether the talks will bring back the dismissed men or only more delay.",,story::GOVERNMENT_OFFICE_ROUTE::sceneSubtitle
Government Office,David Marshall,NPC Name,David Marshall,David Marshall,David Marshall,variants::GOVERNMENT_OFFICE_DAVID_MARSHALL_NPC::chatBubbleSpeaker
Government Office,David Marshall,NPC Line 1,We are not here to trade speeches. The dismissed men must be discussed directly or this room is only theatre.,We are not here to trade speeches. The dismissed men must be discussed directly or this room is only theatre.,We are not here to trade speeches. The dismissed men must be discussed directly or this room is only theatre.,variants::GOVERNMENT_OFFICE_DAVID_MARSHALL_NPC::chatBubbleTexts[0]
Government Office,David Marshall,NPC Line 2,"If the company wants buses running, it must answer why so many workers were pushed out and why the union was handled this way.","If the company wants buses running, it must answer why so many workers were pushed out and why the union was handled this way.","If the company wants buses running, it must answer why so many workers were pushed out and why the union was handled this way.",variants::GOVERNMENT_OFFICE_DAVID_MARSHALL_NPC::chatBubbleTexts[1]
Government Office,David Marshall,NPC Line 3,I want a settlement before Hock Lee becomes a public spectacle the whole city feels compelled to join.,I want a settlement before Hock Lee becomes a public spectacle the whole city feels compelled to join.,I want a settlement before Hock Lee becomes a public spectacle the whole city feels compelled to join.,variants::GOVERNMENT_OFFICE_DAVID_MARSHALL_NPC::chatBubbleTexts[2]
Government Office,Lee Kuan Yew,NPC Name,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,variants::GOVERNMENT_OFFICE_LEE_KUAN_YEW_NPC::chatBubbleSpeaker
Government Office,Lee Kuan Yew,NPC Line 1,"Lee Kuan Yew. I'm here as a lawyer and observer, not the man leading the meeting.","Lee Kuan Yew. I'm here as a lawyer and observer, not the man leading the meeting.","Lee Kuan Yew. I'm here as a lawyer and observer, not the man leading the meeting.",variants::GOVERNMENT_OFFICE_LEE_KUAN_YEW_NPC::chatBubbleTexts[0]
Government Office,Lee Kuan Yew,NPC Line 2,Marshall is trying to keep a labour dispute from becoming a wider political confrontation.,Marshall is trying to keep a labour dispute from becoming a wider political confrontation.,Marshall is trying to keep a labour dispute from becoming a wider political confrontation.,variants::GOVERNMENT_OFFICE_LEE_KUAN_YEW_NPC::chatBubbleTexts[1]
Government Office,Lee Kuan Yew,NPC Line 3,"Once workers sit at the gates and the public starts taking sides, every legal point becomes a political one.","Once workers sit at the gates and the public starts taking sides, every legal point becomes a political one.","Once workers sit at the gates and the public starts taking sides, every legal point becomes a political one.",variants::GOVERNMENT_OFFICE_LEE_KUAN_YEW_NPC::chatBubbleTexts[2]
Government Office,Lee Kuan Yew,NPC Line 4,"What happens in this room will shape not just the company and the union, but how this government is judged.","What happens in this room will shape not just the company and the union, but how this government is judged.","What happens in this room will shape not just the company and the union, but how this government is judged.",variants::GOVERNMENT_OFFICE_LEE_KUAN_YEW_NPC::chatBubbleTexts[3]
Government Office,Fong Swee Suan,NPC Name,Fong Swee Suan,Fong Swee Suan,Fong Swee Suan,variants::GOVERNMENT_OFFICE_FENG_SWEE_SUAN_NPC::chatBubbleSpeaker
Government Office,Fong Swee Suan,NPC Line 1,"Our men did not come here over one insult. Hock Lee denied union leave, favoured a rival union, and kept dismissing workers as warnings to the rest.","Our men did not come here over one insult. Hock Lee denied union leave, favoured a rival union, and kept dismissing workers as warnings to the rest.","Our men did not come here over one insult. Hock Lee denied union leave, favoured a rival union, and kept dismissing workers as warnings to the rest.",variants::GOVERNMENT_OFFICE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[0]
Government Office,Fong Swee Suan,NPC Line 2,"Begin with the 229 men thrown out. If they are not taken back, no one at the depot will call these talks serious.","Begin with the 229 men thrown out. If they are not taken back, no one at the depot will call these talks serious.","Begin with the 229 men thrown out. If they are not taken back, no one at the depot will call these talks serious.",variants::GOVERNMENT_OFFICE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[1]
Government Office,Fong Swee Suan,NPC Line 3,The workers have shown discipline so far. Do not answer that discipline with delay.,The workers have shown discipline so far. Do not answer that discipline with delay.,The workers have shown discipline so far. Do not answer that discipline with delay.,variants::GOVERNMENT_OFFICE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[2]
Government Office,Bus Company Boss,NPC Name,Bus Company Boss,Bus Company Boss,Bus Company Boss,variants::GOVERNMENT_OFFICE_BUS_BOSS_NPC::chatBubbleSpeaker
Government Office,Bus Company Boss,NPC Line 1,"You speak as if the company has no problems of its own. Costs are rising too, and discipline inside the depot matters.","You speak as if the company has no problems of its own. Costs are rising too, and discipline inside the depot matters.","You speak as if the company has no problems of its own. Costs are rising too, and discipline inside the depot matters.",variants::GOVERNMENT_OFFICE_BUS_BOSS_NPC::chatBubbleTexts[0]
Government Office,Bus Company Boss,NPC Line 2,You ask about dismissals as though idle buses and disorder cost nothing. They do.,You ask about dismissals as though idle buses and disorder cost nothing. They do.,You ask about dismissals as though idle buses and disorder cost nothing. They do.,variants::GOVERNMENT_OFFICE_BUS_BOSS_NPC::chatBubbleTexts[1]
Government Office,Bus Company Boss,NPC Line 3,"I can discuss terms, but not while a hunger strike and blocked gate are being used to force my hand.","I can discuss terms, but not while a hunger strike and blocked gate are being used to force my hand.","I can discuss terms, but not while a hunger strike and blocked gate are being used to force my hand.",variants::GOVERNMENT_OFFICE_BUS_BOSS_NPC::chatBubbleTexts[2]
Government Office,Civil Servant Typewriter Object,NPC Line,The typewriter sits ready to turn this meeting's tension into formal notes.,,,config::GOVERNMENT_OFFICE_CIV_TYPEWRITER_NPC::chatBubbleText
,,,,,,
Bus Depot,,Scene Title,Riot: Bus Depot Standoff,Riot: Bus Depot,Riot: Bus Depot,story::BUS_DEPOT_ROUTE::sceneTitle
Bus Depot,,Scene Description,"At the depot on 27 April, Rajiv sees dismissed workers sitting at the gates, buses blocked from leaving, and police crowding close to a labour dispute that is becoming public theatre.","At the depot in late April, Ahmad joins men sitting at the gates after 229 dismissals. The hunger strike and bus blockade make their anger impossible to ignore.","At the depot, Kim Chuan sees how student support changes the mood: what began as a workers' dispute now feels like a broader public cause.",story::BUS_DEPOT_ROUTE::sceneSubtitle
Bus Depot,Fong Swee Suan,NPC Name,Fong Swee Suan,Fong Swee Suan,Fong Swee Suan,variants::BUS_DEPOT_FENG_SWEE_SUAN_NPC::chatBubbleSpeaker
Bus Depot,Fong Swee Suan,NPC Line 1,"The men did not walk out for drama. Hock Lee denied union leave, favoured the other union, and treated workers as if we could be discarded.","The men did not walk out for drama. Hock Lee denied union leave, favoured the other union, and treated workers as if we could be discarded.","The men did not walk out for drama. Hock Lee denied union leave, favoured the other union, and treated workers as if we could be discarded.",variants::BUS_DEPOT_FENG_SWEE_SUAN_NPC::chatBubbleTexts[0]
Bus Depot,Fong Swee Suan,NPC Line 2,"When 229 men were dismissed, the argument changed. We will hold the gate until management is forced to face what it has done.","When 229 men were dismissed, the argument changed. We will hold the gate until management is forced to face what it has done.","When 229 men were dismissed, the argument changed. We will hold the gate until management is forced to face what it has done.",variants::BUS_DEPOT_FENG_SWEE_SUAN_NPC::chatBubbleTexts[1]
Bus Depot,Fong Swee Suan,NPC Line 3,"Keep the line disciplined. The point is to stop the buses and make the injustice visible, not to hand anyone an excuse.","Keep the line disciplined. The point is to stop the buses and make the injustice visible, not to hand anyone an excuse.","Keep the line disciplined. The point is to stop the buses and make the injustice visible, not to hand anyone an excuse.",variants::BUS_DEPOT_FENG_SWEE_SUAN_NPC::chatBubbleTexts[2]
Bus Depot,Fong Swee Suan Gate,NPC Line 1,Hold the line at the gates. The hunger strike and blockade mean nothing if the buses slip out as though the dismissals never happened.,Hold the line at the gates. The hunger strike and blockade mean nothing if the buses slip out as though the dismissals never happened.,Hold the line at the gates. The hunger strike and blockade mean nothing if the buses slip out as though the dismissals never happened.,variants::BUS_DEPOT_GATE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[0]
Bus Depot,Fong Swee Suan Gate,NPC Line 2,Students are bringing food and songs because they want the company to see this dispute is no longer hidden inside the depot.,Students are bringing food and songs because they want the company to see this dispute is no longer hidden inside the depot.,Students are bringing food and songs because they want the company to see this dispute is no longer hidden inside the depot.,variants::BUS_DEPOT_GATE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[1]
Bus Depot,Fong Swee Suan Gate,NPC Line 3,"Stay calm, stay together, and remember why we came here. If the police arrive, they must meet workers who know exactly what they are standing for.","Stay calm, stay together, and remember why we came here. If the police arrive, they must meet workers who know exactly what they are standing for.","Stay calm, stay together, and remember why we came here. If the police arrive, they must meet workers who know exactly what they are standing for.",variants::BUS_DEPOT_GATE_FENG_SWEE_SUAN_NPC::chatBubbleTexts[2]
Bus Depot,Bus Company Boss,NPC Name,Bus Company Boss,Bus Company Boss,Bus Company Boss,variants::BUS_DEPOT_BUS_BOSS_NPC::chatBubbleSpeaker
Bus Depot,Bus Company Boss,NPC Line 1,"You keep stirring the men up, Feng, as if I can run a bus company on demands and slogans.","You keep stirring the men up, Feng, as if I can run a bus company on demands and slogans.","You keep stirring the men up, Feng, as if I can run a bus company on demands and slogans.",variants::BUS_DEPOT_BUS_BOSS_NPC::chatBubbleTexts[0]
Bus Depot,Bus Company Boss,NPC Line 2,"There are costs, rival unions, and discipline to maintain. I will not hand control of the depot to whoever shouts loudest.","There are costs, rival unions, and discipline to maintain. I will not hand control of the depot to whoever shouts loudest.","There are costs, rival unions, and discipline to maintain. I will not hand control of the depot to whoever shouts loudest.",variants::BUS_DEPOT_BUS_BOSS_NPC::chatBubbleTexts[1]
Bus Depot,Bus Company Boss,NPC Line 3,"If you bring the men to the gate, understand what you are choosing. A blockade turns grievance into confrontation.","If you bring the men to the gate, understand what you are choosing. A blockade turns grievance into confrontation.","If you bring the men to the gate, understand what you are choosing. A blockade turns grievance into confrontation.",variants::BUS_DEPOT_BUS_BOSS_NPC::chatBubbleTexts[2]
Bus Depot,BUS_DEPOT_REACTING_BUS_BOSS_NPC,NPC Line 1,"So this is your answer then: dismissed men at my gate, buses held back, and students gathering outside.","So this is your answer then: dismissed men at my gate, buses held back, and students gathering outside.","So this is your answer then: dismissed men at my gate, buses held back, and students gathering outside.",variants::BUS_DEPOT_REACTING_BUS_BOSS_NPC::chatBubbleTexts[0]
Bus Depot,BUS_DEPOT_REACTING_BUS_BOSS_NPC,NPC Line 2,"A crowd does not change the books, but it does turn a company dispute into a public humiliation.","A crowd does not change the books, but it does turn a company dispute into a public humiliation.","A crowd does not change the books, but it does turn a company dispute into a public humiliation.",variants::BUS_DEPOT_REACTING_BUS_BOSS_NPC::chatBubbleTexts[1]
Bus Depot,BUS_DEPOT_REACTING_BUS_BOSS_NPC,NPC Line 3,"Clear a way back to the table and I will talk. Keep the blockade, and the whole city will be dragged into this.","Clear a way back to the table and I will talk. Keep the blockade, and the whole city will be dragged into this.","Clear a way back to the table and I will talk. Keep the blockade, and the whole city will be dragged into this.",variants::BUS_DEPOT_REACTING_BUS_BOSS_NPC::chatBubbleTexts[2]
Bus Depot,Student Volunteer,NPC Name,,Student Volunteer,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::chatBubbleSpeaker
Bus Depot,Student Volunteer,NPC Line 1,,"We brought bread, tea, and a little money. The men should not have to choose between holding the gate and eating tonight.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::chatBubbleTexts[0]
Bus Depot,Student Volunteer,NPC Name,,,Student Volunteer,config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[0]::chatBubbleSpeaker
Bus Depot,Student Volunteer,NPC Line 1,,,We have brought food! Pass the bread and tea forward before the workers miss another meal.,config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[0]::chatBubbleTexts[0]
Bus Depot,Student Volunteer,NPC Line 2,,,"More students are coming from the schools. If the company wanted this quarrel hidden, it is too late for that now.",config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[0]::chatBubbleTexts[1]
Bus Depot,Student Volunteer,NPC Line 3,,,"Even with the police already here, we stay together. The men at the gate should see support, not fear.",config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[0]::chatBubbleTexts[2]
Bus Depot,Why Students Came,Chat Option 1 — Player Option Text,,Ask why students came to a bus depot dispute.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[0]::label
Bus Depot,Why Students Came,Chat Option 1 — Player Says,,This began as a fight between workers and management. Why did students come all the way here for it?,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[0]::playerText
Bus Depot,Why Students Came,Chat Option 1 — NPC Reply,,"Because once 229 workers are dismissed and buses are trapped behind the gate, it stops feeling like a private quarrel. Families, schools, and whole neighbourhoods start talking about the same fear.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[0]::npcReply
Bus Depot,Workers Need Most,Chat Option 2 — Player Option Text,,Ask what the workers need most right now.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[1]::label
Bus Depot,Workers Need Most,Chat Option 2 — Player Says,,"If you want to help, what do you think the men here need most?",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[1]::playerText
Bus Depot,Workers Need Most,Chat Option 2 — NPC Reply,,"Food first, then numbers. A hungry strike is easier to break, and a hidden strike is easier to ignore. We want the workers to feel the city can see them before the police decide the story for everyone.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[1]::npcReply
Bus Depot,Police Risk,Chat Option 3 — Player Option Text,,Warn that the police are already watching.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[2]::label
Bus Depot,Police Risk,Chat Option 3 — Player Says,,"The police are already studying this crowd. You know the risk in staying, don't you?",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[2]::playerText
Bus Depot,Police Risk,Chat Option 3 — NPC Reply,,"We do. That is why we came carrying food, not bravado. If fear alone clears the gate, the company learns it never had to answer the workers properly.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[0]::dialogueChoices::[2]::npcReply
Bus Depot,Student Supporter,NPC Name,,Student Supporter,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::chatBubbleSpeaker
Bus Depot,Student Supporter,NPC Line 1,,"We brought song sheets too. If the men are made to stand here in public, then support should be public as well.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::chatBubbleTexts[0]
Bus Depot,Student Supporter,NPC Name,,,Student Supporter,config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[1]::chatBubbleSpeaker
Bus Depot,Student Supporter,NPC Line 1,,,"We brought rice packets, fruit, and song sheets. If the workers hold the line, we can help them hold it loudly.",config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[1]::chatBubbleTexts[0]
Bus Depot,Student Supporter,NPC Line 2,,,Look at the police watching us already. They want this to feel frightening before anyone has even moved.,config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[1]::chatBubbleTexts[1]
Bus Depot,Student Supporter,NPC Line 3,,,Stay on the left and keep the food moving. Solidarity is why we came.,config::BUS_DEPOT_CS_STUDENT_SUPPORT_NPCS::[1]::chatBubbleTexts[2]
Bus Depot,Why Songs Matter,Chat Option 1 — Player Option Text,,Ask what the songs are meant to do.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[0]::label
Bus Depot,Why Songs Matter,Chat Option 1 — Player Says,,Food I understand. What are the songs supposed to change here?,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[0]::playerText
Bus Depot,Why Songs Matter,Chat Option 1 — NPC Reply,,"They steady the crowd and make the strike feel less lonely. A song cannot settle a labour dispute, but it can remind tired workers that people beyond the depot gates are willing to stand beside them.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[0]::npcReply
Bus Depot,Student View Strike,Chat Option 2 — Player Option Text,,Ask how students see the strike.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[1]::label
Bus Depot,Student View Strike,Chat Option 2 — Player Says,,What do students think they are looking at when they come here?,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[1]::playerText
Bus Depot,Student View Strike,Chat Option 2 — NPC Reply,,"Some speak about justice, some about politics, but most recognise the same pressure in rising prices, family wages, and how quickly authority dismisses people who are already struggling.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[1]::npcReply
Bus Depot,Workers Fear For Students,Chat Option 3 — Player Option Text,,Say the workers do not want students hurt.,,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[2]::label
Bus Depot,Workers Fear For Students,Chat Option 3 — Player Says,,"The men are grateful, but none of us wants students caught when this turns rough.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[2]::playerText
Bus Depot,Workers Fear For Students,Chat Option 3 — NPC Reply,,"We hear that. But if every warning sends us home at once, support becomes something people promise only from a safe distance. We would rather stand carefully than pretend this struggle belongs to somebody else.",,config::BUS_DEPOT_BW_STUDENT_SUPPORT_NPCS::[1]::dialogueChoices::[2]::npcReply
Bus Depot,Bus Worker,NPC Name,,,Bus Worker,config::BUS_DEPOT_CS_HUNGRY_WORKER_NPC::chatBubbleSpeaker
Bus Depot,Bus Worker,NPC Line 1,,,"We've been here for a while, and some of the men have missed more than one meal. We could use some food if anyone can help.",config::BUS_DEPOT_CS_HUNGRY_WORKER_NPC::chatBubbleTexts[0]
,,,,,,
Negotiation Hall,,Scene Title,Post-Riot: Return to Negotiation,Post-Riot: Negotiation Hall,,story::NEGOTIATION_ROUTE::sceneTitle
Negotiation Hall,,Scene Description,"On 14 May, Rajiv watches the government help secure a settlement: the dismissed workers are reinstated, but calm returns with little trust restored.","When talks resume on 14 May, Ahmad learns the dismissed workers will be taken back. Even so, reinstatement does not erase the deaths or the distrust.",,story::NEGOTIATION_ROUTE::sceneSubtitle
Negotiation Hall,Bus Company Boss,NPC Name,Bus Company Boss,Bus Company Boss,Bus Company Boss,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[0]::chatBubbleSpeaker
Negotiation Hall,Bus Company Boss,NPC Line 1,The company cannot run if every dispute ends with blocked buses and public pressure at the gates.,The company cannot run if every dispute ends with blocked buses and public pressure at the gates.,The company cannot run if every dispute ends with blocked buses and public pressure at the gates.,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[0]::chatBubbleTexts[0]
Negotiation Hall,Bus Company Boss,NPC Line 2,"If you want an agreement, it must leave the depot able to operate tomorrow. I will not sign terms that make future discipline impossible.","If you want an agreement, it must leave the depot able to operate tomorrow. I will not sign terms that make future discipline impossible.","If you want an agreement, it must leave the depot able to operate tomorrow. I will not sign terms that make future discipline impossible.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[0]::chatBubbleTexts[1]
Negotiation Hall,Bus Company Boss,NPC Line 3,"I am prepared to discuss reinstatement and conditions, but not under the threat of another crowd outside.","I am prepared to discuss reinstatement and conditions, but not under the threat of another crowd outside.","I am prepared to discuss reinstatement and conditions, but not under the threat of another crowd outside.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[0]::chatBubbleTexts[2]
Negotiation Hall,Lee Kuan Yew,NPC Name,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[1]::chatBubbleSpeaker
Negotiation Hall,Lee Kuan Yew,NPC Line 1,Every side in this room now speaks with the riot behind it. That makes compromise harder and more urgent at the same time.,Every side in this room now speaks with the riot behind it. That makes compromise harder and more urgent at the same time.,Every side in this room now speaks with the riot behind it. That makes compromise harder and more urgent at the same time.,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[1]::chatBubbleTexts[0]
Negotiation Hall,Lee Kuan Yew,NPC Line 2,"If the workers leave with nothing after the dismissals and deaths, resentment deepens. If the company feels cornered, it hardens further. That is the trap.","If the workers leave with nothing after the dismissals and deaths, resentment deepens. If the company feels cornered, it hardens further. That is the trap.","If the workers leave with nothing after the dismissals and deaths, resentment deepens. If the company feels cornered, it hardens further. That is the trap.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[1]::chatBubbleTexts[1]
Negotiation Hall,Lee Kuan Yew,NPC Line 3,"These are no longer mere wage talks. Labour, law, and political legitimacy are all being tested at once.","These are no longer mere wage talks. Labour, law, and political legitimacy are all being tested at once.","These are no longer mere wage talks. Labour, law, and political legitimacy are all being tested at once.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[1]::chatBubbleTexts[2]
Negotiation Hall,David Marshall,NPC Name,David Marshall,David Marshall,David Marshall,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[2]::chatBubbleSpeaker
Negotiation Hall,David Marshall,NPC Line 1,Sit down and speak plainly. We are here because 12 May proved what delay can cost.,Sit down and speak plainly. We are here because 12 May proved what delay can cost.,Sit down and speak plainly. We are here because 12 May proved what delay can cost.,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[2]::chatBubbleTexts[0]
Negotiation Hall,David Marshall,NPC Line 2,"The workers want the dismissed men back, fairer treatment, and proof that negotiation still means something. The company wants control and a depot that can reopen. Then let us start there.","The workers want the dismissed men back, fairer treatment, and proof that negotiation still means something. The company wants control and a depot that can reopen. Then let us start there.","The workers want the dismissed men back, fairer treatment, and proof that negotiation still means something. The company wants control and a depot that can reopen. Then let us start there.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[2]::chatBubbleTexts[1]
Negotiation Hall,David Marshall,NPC Line 3,"No one will leave with everything, but if these talks fail, the cost will be paid well beyond this room.","No one will leave with everything, but if these talks fail, the cost will be paid well beyond this room.","No one will leave with everything, but if these talks fail, the cost will be paid well beyond this room.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[2]::chatBubbleTexts[2]
Negotiation Hall,Fong Swee Suan,NPC Name,Fong Swee Suan,Fong Swee Suan,Fong Swee Suan,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[3]::chatBubbleSpeaker
Negotiation Hall,Fong Swee Suan,NPC Line 1,"The workers did not come here for ceremony. They came because dismissals, poor conditions, and intimidation have gone on too long.","The workers did not come here for ceremony. They came because dismissals, poor conditions, and intimidation have gone on too long.","The workers did not come here for ceremony. They came because dismissals, poor conditions, and intimidation have gone on too long.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[3]::chatBubbleTexts[0]
Negotiation Hall,Fong Swee Suan,NPC Line 2,Do not ask men who sat at the gates and buried the dead to return with nothing but speeches.,Do not ask men who sat at the gates and buried the dead to return with nothing but speeches.,Do not ask men who sat at the gates and buried the dead to return with nothing but speeches.,variants::NEGOTIATION_FRONT_LEADERS_NPCS::[3]::chatBubbleTexts[1]
Negotiation Hall,Fong Swee Suan,NPC Line 3,"Show the men that negotiation can bring back dismissed workers and fairer treatment, and you will see calm. Give them empty words, and anger will return.","Show the men that negotiation can bring back dismissed workers and fairer treatment, and you will see calm. Give them empty words, and anger will return.","Show the men that negotiation can bring back dismissed workers and fairer treatment, and you will see calm. Give them empty words, and anger will return.",variants::NEGOTIATION_FRONT_LEADERS_NPCS::[3]::chatBubbleTexts[2]
,,,,,,
Alexandra Road,,Scene Title,,Riot: Alexandra Road,Riot: Alexandra Road,story::ALEXANDRA_ROAD_ROUTE::sceneTitle
Alexandra Road,,Scene Description,,"On 12 May, hoses, stones, bottles, and panic overtake the strike. Ahmad sees the dispute slip beyond anyone's control.","On Alexandra Road, Kim Chuan watches the scene turn from chanting to hoses, flying debris, and casualties. One day of support becomes a lesson in fear.",story::ALEXANDRA_ROAD_ROUTE::sceneSubtitle
Alexandra Road,Lee Chim Siong,NPC Name,Lee Chim Siong,Lee Chim Siong,Lee Chim Siong,variants::ALEXANDRA_ROAD_LEE_CHIM_SIONG_NPCS::[0]::chatBubbleSpeaker
Alexandra Road,Lee Chim Siong,NPC Line 1,The strike has spilled into confrontation because the company and the authorities thought dismissed workers would fold before the city noticed.,The strike has spilled into confrontation because the company and the authorities thought dismissed workers would fold before the city noticed.,The strike has spilled into confrontation because the company and the authorities thought dismissed workers would fold before the city noticed.,variants::ALEXANDRA_ROAD_LEE_CHIM_SIONG_NPCS::[0]::chatBubbleTexts[0]
Alexandra Road,Lee Chim Siong,NPC Line 2,"Now everyone is here at once: workers, students, police, reporters. That is what happens when a labour dispute is met with force instead of settlement.","Now everyone is here at once: workers, students, police, reporters. That is what happens when a labour dispute is met with force instead of settlement.","Now everyone is here at once: workers, students, police, reporters. That is what happens when a labour dispute is met with force instead of settlement.",variants::ALEXANDRA_ROAD_LEE_CHIM_SIONG_NPCS::[0]::chatBubbleTexts[1]
Alexandra Road,Lee Chim Siong,NPC Line 3,"The hoses have already changed the mood. Hold your ground if you must, but do not forget how quickly a crowd can be punished once the state decides it has found its excuse.","The hoses have already changed the mood. Hold your ground if you must, but do not forget how quickly a crowd can be punished once the state decides it has found its excuse.","The hoses have already changed the mood. Hold your ground if you must, but do not forget how quickly a crowd can be punished once the state decides it has found its excuse.",variants::ALEXANDRA_ROAD_LEE_CHIM_SIONG_NPCS::[0]::chatBubbleTexts[2]
Alexandra Road,Student Organizer,NPC Name,Student Organizer,Student Organizer,Student Organizer,variants::ALEXANDRA_ROAD_STUDENT_UNION_NPCS::[0]::chatBubbleSpeaker
Alexandra Road,Student Organizer,NPC Line 1,Stay together on the left. Don't scatter once the police start using the hoses.,Stay together on the left. Don't scatter once the police start using the hoses.,Stay together on the left. Don't scatter once the police start using the hoses.,variants::ALEXANDRA_ROAD_STUDENT_UNION_NPCS::[0]::chatBubbleTexts[0]
Alexandra Road,Student Organizer,NPC Line 2,"We came to support the workers, not to give the authorities an easy story about chaos.","We came to support the workers, not to give the authorities an easy story about chaos.","We came to support the workers, not to give the authorities an easy story about chaos.",variants::ALEXANDRA_ROAD_STUDENT_UNION_NPCS::[0]::chatBubbleTexts[1]
Alexandra Road,Police Sergeant,NPC Name,Police Sergeant,Police Sergeant,Police Sergeant,variants::ALEXANDRA_ROAD_POLICE_NPCS::[3]::chatBubbleSpeaker
Alexandra Road,Police Sergeant,NPC Line 1,Push them back from the road. Keep the line tight and get the hoses forward.,Push them back from the road. Keep the line tight and get the hoses forward.,Push them back from the road. Keep the line tight and get the hoses forward.,variants::ALEXANDRA_ROAD_POLICE_NPCS::[3]::chatBubbleTexts[0]
Alexandra Road,Police Sergeant,NPC Line 2,"If this breaks any further, the whole city will hear about Alexandra Road before sundown.","If this breaks any further, the whole city will hear about Alexandra Road before sundown.","If this breaks any further, the whole city will hear about Alexandra Road before sundown.",variants::ALEXANDRA_ROAD_POLICE_NPCS::[3]::chatBubbleTexts[1]
Alexandra Road,American Journalist,NPC Name,American Journalist,American Journalist,American Journalist,variants::ALEXANDRA_ROAD_JOURNALIST_NPCS::[0]::chatBubbleSpeaker
